id,brand,car_model,type,desc,problem,datetime,status
570779,一汽-大众,一汽-大众CC,2019款 380TSI 曜颜版,一汽大众CC起步和加油时异响4S店查不出原因,"B33,G56,J301,",2021-02-06,处理反馈
570773,凯翼汽车,凯翼C3,2015款 1.5L AMT 黄钻版,凯翼C3变速器脱挡希望尽快得到处理,"B246,",2021-02-06,信息审核
570771,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,"H82,",2021-02-06,处理反馈
570769,华晨中华,中华V6,2018款 1.5T 自动 尊贵型,华晨中华V6发动机缺缸希望尽快处理,"A24,A163,",2021-02-06,信息审核
570768,上汽大众,途岳,2020款 280TSI 两驱 豪华版 国VI,上汽大众途岳发动机故障灯亮希望处理,"A34,",2021-02-06,信息审核
570765,东风本田,本田CR-V,2019款 锐·混动 2.0L 两驱 净驰版 国VI,东风本田CR-V安全辅助系统故障希望处理,"H170,",2021-02-06,处理反馈
570763,长安铃木,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动希望尽快处理,"A44,",2021-02-06,处理反馈
570762,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 6座,长安福特探险者变速箱与分动箱连接处漏油,"B22,",2021-02-06,处理反馈
570758,东风雪铁龙,凯旋,2006款 2.0L 自动 旗舰型,东风雪铁龙凯旋变速箱三挡锁死 空调不制热,"B20,H101,",2021-02-06,处理反馈
570757,猎豹汽车,猎豹CS10,2015款 2.0T 手动  风尚版,猎豹CS10车辆自燃要求立刻解决问题,"H40,",2021-02-06,信息审核
570756,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 车载互联劲智型,东风雪铁龙C4L节温器故障导致高温烧机油,"A63,A191,",2021-02-06,处理反馈
570755,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙经销商疑似出售问题车,"M284,",2021-02-06,信息审核
570754,广汽三菱,欧蓝德,2019款 2.4L 四驱 致享版 5座 国VI,广汽三菱欧蓝德发动机爆震 变速箱拖挡 ,"A18,B69,",2021-02-06,厂家受理
570753,广汽丰田,凯美瑞,2007款 240V 2.4 自动 NAVI 至尊导航版,广汽丰田凯美瑞仪表台开裂影响驾驶安全,"H176,",2021-02-06,处理反馈
570750,奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,捷途X90空调出风口调节拨片电镀层脱落,"H101,I294,",2021-02-06,处理反馈
570749,上汽大众,凌渡,2017款 230TSI DSG 风尚版,上汽大众凌渡变速箱机电控制单元故障,"B115,",2021-02-06,处理反馈
570748,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁钥匙失灵 悬挂异响 车机蓝屏,"G204,H134,H155,H119,",2021-02-06,处理反馈
570746,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮 透镜裂痕 雨刮异响,"H82,H60,H220,",2021-02-06,处理反馈
570744,一汽-大众,迈腾GTE,2020款 GTE 豪华型,一汽大众迈腾GTE发动机和EPC故障报警,"A9,A34,H89,I295,J301,",2021-02-06,用户评分
570741,陕汽,德龙,M3000,陕汽德龙变速箱油封漏油厂家客服态度恶劣,"A12,I297,I293,",2021-02-06,信息审核
570740,上汽集团,名爵5,2021款 180DVVT CVT 青春豪华版,上汽名爵5车身胶条破损 音响喇叭卡顿,"H134,H168,",2021-02-06,处理反馈
570737,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动异响希望处理,"A9,",2021-02-06,处理反馈
570722,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 荣耀型,捷达VS5无法启动 仪表盘故障问题未解决,"A44,H202,I281,",2021-02-06,处理反馈
570721,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L起步时变速箱异响,"B33,",2021-02-06,信息审核
570720,东风日产,天籁,2020款 2.0T XL Upper AD1 智享领航版,东风日产天籁变速箱顿挫 车门共振 油箱异响,"A9,A24,B19,H147,",2021-02-06,处理反馈
570715,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机冷启动异响希望处理,"A9,",2021-02-06,处理反馈
570714,上汽大众,途观L,2019款 280TSI 自动 两驱 全景舒适版 国V,上汽大众途观L行驶过程中变速箱异响顿挫,"B33,B19,",2021-02-06,用户评分
570711,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁车载智联无法使用厂家不处理,"H155,M279,",2021-02-06,用户评分
570709,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,大众途观L经销商不给维修工单希望处理,"O353,",2021-02-06,处理反馈
570707,长安汽车,长安欧尚A600,2016款 1.5L 豪华型 7座,长安欧尚A600漆面起泡车身生锈严重,"H79,H81,",2021-02-06,处理反馈
570698,一汽红旗,红旗H5,2020款 1.5T DCT 旗韵版,红旗H5后备箱无故弹开影响安全,"H68,",2021-02-06,信息审核
570696,北汽新能源,EV系列,2016款 EV160 轻快版,北汽新能源EV电机冷却液过高无配件,"N318,",2021-02-06,处理反馈
570689,奇瑞汽车,瑞虎8,2018款 1.5TCI 自动 豪华型 5座,奇瑞瑞虎8变速箱顿挫 发动机抖动 大灯盲区,"A24,B19,G171,H82,",2021-02-05,处理反馈
570686,奔驰（进口）,奔驰S级,2020款 S 450 L 4MATIC 臻藏版,进口奔驰S级车机系统失灵 行车电脑报警,"H134,H155,H170,",2021-02-05,处理反馈
570680,长城汽车,哈弗H2,2017款 1.5T 手动 两驱舒适型 红标,哈弗H2行驶时变速箱失速无法加速,"A255,B334,",2021-02-05,处理反馈
570679,特斯拉中国,Model 3,2021款 标准续航 后驱 升级版,特斯拉Model 3无法充满掉电严重 续航不足,"H343,H340,",2021-02-05,信息审核
570675,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 运动型 国VI,一汽大众奥迪A3事故喷漆后发现大灯有裂痕,"H220,J300,",2021-02-05,信息审核
570672,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁刹车盘变形 高速刹车抖动,"E111,E239,",2021-02-05,用户评分
570671,上汽大众,途观L,2019款 330TSI 自动 两驱 全景舒适版 国V,上汽大众途观L车身镀铬装饰条生锈严重,"H79,",2021-02-05,处理反馈
570670,奇瑞汽车,瑞虎5,2016款 2.0L CVT 家悦版,奇瑞瑞虎5行驶时后车轮连杆断裂,"G204,",2021-02-05,处理反馈
570669,东风日产,逍客,2019款 2.0L CVT 智享版,东风日产逍客经销商加装电动门欺骗销售,"M279,",2021-02-05,用户评分
570668,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国Ⅵ,一汽大众探岳大灯不亮且内部有杂质,"H82,",2021-02-05,处理反馈
570663,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电控制单元故障,"B115,",2021-02-05,处理反馈
570660,上汽大众,凌渡,2015款 330TSI DSG 豪华版,上汽大众凌渡变速箱机电单元故障 车内异味,"B115,H185,",2021-02-05,用户评分
570658,江西五十铃,瑞迈,2020款 2.8T 经典 四驱 柴油 国VI 舒适型 加长版 JE493ZLQ6E,五十铃瑞迈刹车泵故障异响 发动机漏水,"A37,E43,E269,J298,",2021-02-05,信息审核
570657,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞前半轴防尘套出现漏油,"G161,",2021-02-05,处理反馈
570656,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳主驾驶座椅异响4S店未解决,"H169,J298,",2021-02-05,处理反馈
570653,领克,领克05,2020款 2.0TD 两驱 耀Halo,领克05车机高德地图已绑定他人微信,"I294,P327,",2021-02-05,信息审核
570652,广汽丰田,凯美瑞,2018款 2.5G 自动 豪华版,广汽丰田凯美瑞轮胎吃胎偏磨严重,"G245,",2021-02-05,处理反馈
570651,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8经销商置换补贴未兑现,"I281,L313,",2021-02-05,厂家受理
570650,一汽-大众,捷达,2010款 1.6 手动 前卫型,一汽大众捷达车身生锈要求给予解决,"H79,",2021-02-05,处理反馈
570649,长安福特,翼虎,2018款 EcoBoost 180 两驱 铂翼型,长安福特翼虎发动机无法启动 漏防冻液,"A44,A37,",2021-02-05,用户评分
570648,奇瑞汽车,艾瑞泽7,2016款 1.6L CVT 致享版,奇瑞艾瑞泽7发动机油底壳漏油4S店不予索赔,"A12,I297,",2021-02-05,处理反馈
570645,东风雪铁龙,世嘉,2016款 1.6L 自动 品尚型 经典,东风雪铁龙世嘉变速箱电磁阀故障,"B84,",2021-02-05,用户评分
570638,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领臻版,奇瑞艾瑞泽5安全气囊故障灯常亮,"H103,",2021-02-05,处理反馈
570637,东风日产,轩逸,2021款 1.6L XL CVT 悦享版,东风日产轩逸经销商故意拖延 收取服务费,"I282,K307,",2021-02-05,处理反馈
570636,一汽-大众奥迪,奥迪A4L,2017款 quattro 2.0T 双离合 风尚型,一汽大众奥迪A4L天窗漏水希望处理,"H90,",2021-02-05,信息审核
570633,长安福特,锐界,2018款 EcoBoost 245 两驱 铂锐型 7座 国V,长安福特锐界发动机渗油希望处理,"A12,",2021-02-05,处理反馈
570631,BEIJING汽车,BEIJING-EX3,2019款 R600 劲尚版,BEIJING-EX3续航里程不足希望处理,"H343,",2021-02-05,处理反馈
570630,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5发电机皮带开裂希望处理,"A222,",2021-02-05,处理反馈
570628,东风乘用车,奕炫,2020款 230T 自动 炫酷版,东风风神奕炫悬挂异响 行驶跑偏,"G56,G117,",2021-02-05,厂家受理
570626,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞主驾驶座椅靠背调节异响,"H169,",2021-02-05,处理反馈
570624,上汽大众,Polo,2014款 1.4L 手动 风尚版,上汽大众Polo 4S店虚报维修价格 服务态度差,"I293,K307,",2021-02-05,处理反馈
570623,上汽大众,凌渡,2021款 230TSI DSG 风尚版,上汽大众凌渡行驶时发动机异响严重,"A9,",2021-02-05,处理反馈
570621,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8无法启动需要换电器盒总成,"H110,",2021-02-05,处理反馈
570617,东风日产,劲客,2017款 1.5L CVT 酷享版,东风日产劲客方向盘转向出现异响,"D59,",2021-02-05,处理反馈
570615,广汽本田,雅阁,2021款 260TURBO 豪华·星空限量版,广汽本田雅阁限量版车标颜色宣传不符,"M279,",2021-02-05,用户评分
570614,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,奇瑞瑞虎8 PLUS更换凸轮轴电磁阀无法解决,"A34,",2021-02-05,用户评分
570612,广汽丰田,YARiS L 致享,2019款 1.5E CVT魅动版 国VI,广汽丰田致享方向盘不回正希望处理,"D154,",2021-02-05,处理反馈
570611,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控显示屏死机黑屏,"H134,",2021-02-05,信息审核
570610,广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,广汽丰田雷凌机油增多乳化天窗中控屏异响,"A339,A13,H134,H89,I294,",2021-02-05,处理反馈
570602,广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,广汽丰田雷凌不平路面行驶时天窗异响,"H89,",2021-02-05,处理反馈
570601,东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸方向盘异响 中控黑屏 影像蓝屏,"D59,G52,H134,H72,H93,",2021-02-05,处理反馈
570598,东风日产,逍客,2017款 2.0L CVT 智享版 国VI,东风日产逍客发动机故障灯亮 无法加速,"A34,B334,",2021-02-05,处理反馈
570597,奇瑞汽车,瑞虎8,2020款 1.5TCI 自动 特供版 5座,奇瑞瑞虎8中控异响 方向盘共振左轻右重,"D80,D156,H93,",2021-02-05,处理反馈
570596,江淮汽车,嘉悦A5,2020款 1.5T 手动 精英型,江淮嘉悦A5一挡和二挡行驶发动机噪音大,"A38,",2021-02-05,处理反馈
570595,上汽大众,辉昂,2019款 380TSI 两驱 商务版 国V,大众辉昂行驶时变速箱顿挫异响 发动机抖动,"A24,B33,B19,",2021-02-05,处理反馈
570593,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致启动困难,"A44,",2021-02-05,用户评分
570590,奇瑞汽车,奇瑞E5,2011款 1.5 手动 优悦型 E5,奇瑞E5漆面掉漆供油不足导致无法加速,"A255,H81,H78,",2021-02-05,处理反馈
570586,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯水雾影响行车安全,"H82,",2021-02-05,处理反馈
570584,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱无奇数挡仪表盘故障报警,"B20,B96,",2021-02-05,处理反馈
570583,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳副驾驶侧车门漆面龟裂,"H81,",2021-02-05,处理反馈
570582,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁行驶过程中车门有异响,"H72,",2021-02-05,处理反馈
570580,一汽-大众,高尔夫,2021款 280TSI DSG R-Line,一汽大众高尔夫螺丝孔有瑕疵无法安装车牌,"N317,",2021-02-05,处理反馈
570578,一汽丰田,锐志,2007款 2.5V 导航版 新锐志REIZ,一汽丰田锐志中控仪表台开裂老化,"H176,",2021-02-05,信息审核
570576,一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,一汽大众高尔夫加满油低速踩刹车油箱异响,"H147,",2021-02-05,处理反馈
570575,长安福特,锐际,2020款 EcoBoost 245 四驱 纵享款 ST-LINE,长安福特锐际经销商喷漆色差明显,"J300,",2021-02-05,用户评分
570571,江铃汽车,驭胜S350,2016款 2.4T 自动 两驱 柴油 豪华版 5座,江铃驭胜S350变速箱换挡时有异响,"B33,",2021-02-05,信息审核
570569,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,一汽奔腾T77电瓶亏电导致无法启动,"H146,",2021-02-05,处理反馈
570568,东风雪铁龙,雪铁龙C3-XR,2015款 1.6THP 自动 先锋型 5座,东风雪铁龙C3-XR发动机严重烧机油,"A63,",2021-02-05,用户评分
570563,长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型,长安福特翼虎防冻液异常消耗希望处理,"A191,",2021-02-05,处理反馈
570560,上汽大众,桑塔纳,2021款 1.5L 手动 风尚版,上汽大众桑塔纳购车后不给保养手册,"O353,",2021-02-05,处理反馈
570558,一汽-大众,宝来,2019款 改款 1.5L 自动 舒适型 国VI,一汽大众宝来倒车时踩刹车严重异响,"E43,",2021-02-05,处理反馈
570557,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸变速箱失速 方向盘故障灯亮,"A14,B334,D156,",2021-02-05,用户评分
570556,江汽集团,思皓X8,2021款 300T DCT 全景豪华版 6座,江淮思皓X8购车时置换补贴未兑现,"L313,",2021-02-05,处理反馈
570555,上汽通用五菱,宝骏310W,2017款 1.5L 手动 时尚型 国VI,宝骏310W行驶时出现交通事故气囊未弹开,"H55,",2021-02-05,处理反馈
570554,广汽乘用车,传祺GS3,2017款 150N 自动 精英版,广汽传祺GS3爆震传感器故障发动机故障灯亮,"A34,H234,",2021-02-05,处理反馈
570553,广汽三菱,欧蓝德,2020款 2.0L 两驱 畅享版 5座,广汽三菱欧蓝德4S店销售维修过的问题车,"M284,",2021-02-05,厂家受理
570546,吉利汽车,吉利ICON,2020款 1.5TD i9,吉利ICON销售人员赠送车膜质量太差,"K307,N317,",2021-02-05,处理反馈
570545,BEIJING汽车,绅宝X35,2016款 1.5L 自动 精英版,北汽绅宝X35车辆登记证书缺失无法解压,"O353,",2021-02-05,处理反馈
570544,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 豪华优享版 7座 改款,斯柯达柯迪亚克刹车系统存在异响现象,"E43,",2021-02-05,处理反馈
570543,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮4S店不予处理,"F186,I295,",2021-02-05,处理反馈
570541,华晨宝马,宝马1系,2021款 125i M运动曜夜版,华晨宝马1系车联网APP数据无法更新,"H155,I293,",2021-02-05,处理反馈
570534,长安福特,锐际,2020款 EcoBoost 245 四驱 嘉享款,长安福特锐际发动机舱内有异响要求处理,"A9,",2021-02-05,用户评分
570529,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影油管损坏需要更换油箱,"Q322,",2021-02-05,处理反馈
570525,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动跑高低速时岀现方向卡滞,"D123,",2021-02-05,处理反馈
570523,东风日产,劲客,2021款 1.5L XE 手动 酷动版,东风日产劲客加速时发动机舱异响,"A9,",2021-02-05,用户评分
570521,东风本田,本田CR-V,2021款 240TURBO CVT 四驱 豪华版,东风本田CR-V按装行车记录仪与承诺不符,"L313,",2021-02-05,处理反馈
570517,奔驰（进口）,奔驰E级（进口）,2018款 E 200 敞篷轿跑车,进口奔驰E级尾灯开裂 变速箱跳挡,"B27,H134,H170,H220,",2021-02-05,处理反馈
570514,上汽通用五菱,五菱宏光,2019款 1.5L S 基本型 L2B,上汽通用五菱宏光中控系统是非原厂配件,"N319,",2021-02-05,处理反馈
570512,广汽乘用车,传祺GA6,2016款 235T DCT 豪华版,广汽传祺GA6低速行驶变速箱换挡顿挫,"B33,B19,B334,",2021-02-05,处理反馈
570511,东风雪铁龙,雪铁龙C6,2017款 380THP 尊贵型,东风雪铁龙C6测距雷达故障 店方要收费调试,"K307,",2021-02-05,处理反馈
570510,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳出现防冻液消耗过快,"A191,",2021-02-05,处理反馈
570507,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内厂家无配件索赔,"N318,",2021-02-05,信息审核
570505,上汽大众,朗行,2013款 1.4TSI 自动 豪华型,上汽大众朗行车内异味严重影响身体健康,"H185,",2021-02-05,处理反馈
570504,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L清洗积炭后出现节气门故障,"J300,J299,J304,",2021-02-05,处理反馈
570503,吉利汽车,缤越,2020款 PRO 260T DCT 骑士,吉利缤越转速1300-1800转区间方向盘振动,"D80,",2021-02-05,处理反馈
570502,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳变速箱拖挡导致车身抖动,"B69,",2021-02-05,处理反馈
570501,广汽乘用车,传祺GS8,2017款 320T 两驱 豪华智联版（七座）,广汽传祺GS8车辆点火后中控黑屏,"H134,",2021-02-05,处理反馈
570500,一汽-大众,C-TREK蔚领,2017款 1.6L 自动 舒适型,一汽大众蔚领天窗严重漏水造成内饰有水渍,"H90,",2021-02-05,处理反馈
570499,东风标致,标致308,2014款 乐享版 经典 1.6L 手动 优尚型,东风标致308油泵变形导致油表显示不准确,"H78,H271,",2021-02-05,处理反馈
570496,一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放空调出风口经常异响,"H101,",2021-02-05,信息审核
570494,东风风行,景逸X5,2017款 1.5T CVT 智联型 劲享系列,东风风行景逸X5发动机漏油 变速箱异响,"A12,B33,H21,",2021-02-05,用户评分
570489,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国VI,一汽大众迈腾变速箱异响顿挫存在质量问题,"A9,B33,B19,",2021-02-05,处理反馈
570483,上汽大众,凌渡,2021款 280TSI DSG 舒适版,上汽大众凌渡厂家置换补贴承诺4S店不兑现,"L313,",2021-02-05,处理反馈
570481,奇瑞汽车,艾瑞泽5,2020款 1.5L CVT 运动版,奇瑞艾瑞泽5无操作情况下发动机自行启动,"H49,",2021-02-05,处理反馈
570479,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳右大灯透镜发白越来越严重,"H82,",2021-02-05,处理反馈
570478,观致汽车,观致7,2020款 1.8T 巡航豪华型,观致7变速箱故障 自动驻车故障  刹车异响,"B96,E43,O326,",2021-02-05,信息审核
570476,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车窗玻璃共振 中控异响,"H72,H268,H93,",2021-02-05,信息审核
570474,长安福特,锐界,2020款 EcoBoost 245 两驱 豪锐型 7座,福特锐界行驶时加速油门异响 汽油箱异响,"B33,H147,",2021-02-05,处理反馈
570473,长安福特,翼搏,2013款 1.5 自动 尊贵型,长安福特翼搏变速箱拨叉存在设计缺陷,"B77,Q322,",2021-02-05,用户评分
570471,远程汽车,E200,DNC5042XXYBEVK2远程纯电动厢式运输车,远程汽车E200动力电池故障 方向机异响,"D59,H343,",2021-02-05,信息审核
570468,东风本田,本田CR-V,2021款 锐·混动 2.0L 两驱 净行版,东风本田CR-V颠簸路行驶汽油箱和后备箱异响,"H68,H147,",2021-02-05,处理反馈
570464,特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y空调不制热 充电时自动断电,"H101,H340,",2021-02-05,信息审核
570462,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国V,上汽大众凌渡刹车时有异响4S店否认质量问题,"E43,",2021-02-05,处理反馈
570461,东风标致,标致408,2014款 1.8L 自动 豪华版,标致408油箱阀密封不严导致汽油回流,"H271,",2021-02-05,用户评分
570459,北京汽车,威旺S50,2016款 1.5T 手动 乐动豪华型,北汽威旺S50车辆停放时发生自燃厂家不处理,"H40,",2021-02-05,处理反馈
570458,一汽-大众,迈腾,2020款 330TSI DSG 领先型,一汽大众迈腾飞轮故障导致变速箱异响,"B33,",2021-02-05,处理反馈
570455,BEIJING汽车,BEIJING-X7,2020款 1.5TD DCT 致领版,BEIJING-X7发动机曲轴前油封处有漏油的现象,"A12,",2021-02-05,处理反馈
570453,东风本田,本田CR-V,2017款 240TURBO 自动 四驱 尊耀版,东风本田CR-V抬头显示盖板不回位厂家不保修,"H134,",2021-02-05,用户评分
570452,吉利汽车,帝豪GL,2018款 1.4T 自动 尊贵智联型,吉利帝豪GL变速箱异响抖动车身异响,"A9,B33,B95,H15,",2021-02-05,用户评分
570446,吉利新能源,星越新能源,2019款 400T 驭星者 纯电动续航80KM,吉利星越新能源辅助驾驶故障 发动机抖动,"A24,H185,H101,H170,",2021-02-05,处理反馈
570445,奇瑞新能源,瑞虎3xe,2018款 480 畅优版,奇瑞瑞虎3xe电瓶进水 空调漏水 厂家不保修,"H101,H146,I297,",2021-02-05,厂家受理
570441,一汽-大众奥迪,奥迪A6L,2016款 TFSI 双离合 技术型,奥迪A6L节温器故障导致漏防冻液,"A37,H234,",2021-02-05,信息审核
570439,奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 5座,捷途X70 PLUS车门警示灯不亮 前大灯不亮,"H82,",2021-02-04,处理反馈
570438,奇瑞新能源,瑞虎e,2021款 虎啸版,奇瑞瑞虎e行驶时经常出现动力切断故障,"H343,",2021-02-04,信息审核
570436,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷启动发动机VTC作用器异响,"A9,",2021-02-04,处理反馈
570435,东风日产,骐达TIIDA,2011款 1.6 CVT 智能版 新骐达,东风日产骐达TIIDA变速箱换挡顿挫,"B19,",2021-02-04,处理反馈
570434,广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞仪表台老化粘手异味严重,"H176,H164,",2021-02-04,处理反馈
