id,brand,car_model,type,desc,problem,datetime,status
570432,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L发动机起停失灵 油耗增加,"A85,H263,",2021-02-04,用户评分
570430,东风日产,阳光,2016款 1.5XE 手动 领先版,东风日产阳光变速器异响 油表显示不准确,"B33,H202,",2021-02-04,用户评分
570428,东风雪铁龙,雪铁龙C4L,2013款 1.8L 自动 劲智版,东风雪铁龙C4L方向机转向异响要求解决,"D59,D265,",2021-02-04,用户评分
570426,雷克萨斯,雷克萨斯LS,2006款 460L  自动  尊贵版,雷克萨斯LS中控仪表台开裂发粘有异味	,"H176,",2021-02-04,厂家受理
570425,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁加满油后刹车时汽油箱异响,"H147,",2021-02-04,用户评分
570424,吉利汽车,缤越,2020款 PRO 240T DCT 猎手,吉利缤越刹车时有异响4S店不予解决,"E43,",2021-02-04,处理反馈
570423,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际购车旅游基金承诺一直没有兑现,"L313,",2021-02-04,用户评分
570422,奔驰（进口）,奔驰GLE,2018款 GLE 320 4MATIC 动感型 臻藏版,进口奔驰GLE转向系统故障 中控屏黑屏,"A14,A44,D291,H134,H211,",2021-02-04,用户评分
570419,BEIJING汽车,绅宝D50,2018款 1.5L CVT 尊享智联版,绅宝D50电子驻车系统故障报警4S店不予保修,"E62,E159,I297,",2021-02-04,用户评分
570417,一汽-大众奥迪,奥迪Q5,2015款 40 TFSI 舒适型 5座,一汽大众奥迪Q5发动机漏油烧机油 漏冷却液,"A12,A63,A37,",2021-02-04,用户评分
570415,奇瑞汽车,捷途X70S,2019款 1.5T DCT 坦途版 5座,捷途X70S发动机故障 功率不足 剧烈抖动,"A24,A163,",2021-02-04,处理反馈
570414,江铃福特,领界,2019款 EcoBoost 145 CVT 精领型 国VI,江铃福特领界变速箱漏油维修多次无法解决,"B22,J298,",2021-02-04,用户评分
570412,长安马自达,马自达3 昂克赛拉,2016款 1.5L 手动 豪华型 三厢,长安马自达昂克赛拉刹车异响 减震器异响,"E43,G52,",2021-02-04,处理反馈
570411,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V事故维修垫付款售后未退还,"L314,",2021-02-04,处理反馈
570410,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌低速行驶时变速箱顿挫,"B19,",2021-02-04,处理反馈
570406,华晨宝马,宝马1系,2020款 120i M运动套装,华晨宝马1系刹车抱死希望厂家质保,"E29,",2021-02-04,处理反馈
570405,比亚迪,比亚迪F0,2010款 尚酷爱国版 1.0 手动 悦酷型,比亚迪F0车身侧裙和底盘出现生锈现象,"H79,",2021-02-04,用户评分
570401,上汽大众,桑塔纳,2016款 1.6L 手动 风尚版 三厢,上汽大众桑塔纳发动机启动困难故障灯亮,"A34,A44,",2021-02-04,处理反馈
570400,一汽-大众,宝来,2019款 宝来·传奇 1.5L 手动 时尚型 国VI,一汽大众宝来胎压监测报警维修多次未解决,"H203,",2021-02-04,处理反馈
570397,江西五十铃,瑞迈,2020款 2.8T 经典 四驱 柴油 国VI 舒适型 加长版 JE493ZLQ6E,五十铃瑞迈刹车异响 反复维修未解决,"E43,E333,",2021-02-04,信息审核
570393,东风标致,标致408,2014款 1.8L 自动 豪华版,标致408发动机严重烧机油 后桥异响,"A63,G158,",2021-02-04,处理反馈
570392,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS刹车异响后备箱无故弹起,"E43,H68,",2021-02-04,处理反馈
570391,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油故障灯亮,"A34,A63,",2021-02-04,用户评分
570387,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国VI,上汽大众凌渡天窗异响售后没有解决问题,"H89,",2021-02-04,处理反馈
570386,东风英菲尼迪,英菲尼迪Q50L,2015款 2.0T 自动 悦享版,英菲尼迪Q50L车内异味希望厂家处理,"H185,H90,",2021-02-04,信息审核
570378,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,大众探岳变速箱脱挡共振 反光镜异响,"B246,B208,H211,",2021-02-04,处理反馈
570374,一汽-大众,高尔夫,2017款 230TSI 自动 舒适百万辆纪念版,一汽大众高尔夫变速箱换挡机构故障,"B96,B77,B184,",2021-02-04,处理反馈
570373,一汽-大众,速腾,2019款 280TSI DSG 豪华型 国V,一汽大众速腾高压油泵异响更换配件未解决,"A9,H78,",2021-02-04,处理反馈
570369,东风标致,标致508,2021款 508L 400THP PureTech 驾控版,东风标致508发动机无法启动而且故障灯亮,"A9,A34,A44,",2021-02-04,用户评分
570366,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL变速箱过热失速而且有异响,"B33,B96,B246,",2021-02-04,处理反馈
570365,北京现代,胜达,2013款 2.4L 自动 两驱 智能型 GLS,北京现代胜达4S店喷漆有划痕保险杠缝隙大,"H209,J303,",2021-02-04,处理反馈
570363,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L多个故障灯同时报警希望处理,"H110,",2021-02-04,信息审核
570362,领克,领克03,2020款 2.0TD 自动 劲Pro版,领克03事故维修后座椅挤压起皱服务差,"H169,I293,J299,",2021-02-04,处理反馈
570360,云度新能源,云度π1,2020款 Pro 远行版 乐派型,云度π1仪表台异响方向盘异响电池充电缓慢,"D59,H185,H93,H343,",2021-02-04,信息审核
570359,BEIJING汽车,智行,2018款 1.5T CVT 新智版 国V,BEIJING汽车智行玻璃升降器有故障,"H67,N318,",2021-02-04,处理反馈
570358,上汽大众,凌渡,2015款 280TSI 手动 舒适版,上汽大众凌渡车内异味要求给予解决,"H185,",2021-02-04,用户评分
570356,奇瑞捷豹路虎,捷豹XEL,2019款 2.0T 200PS 尊享版,奇瑞捷豹路虎XEL发动机熄火 发动机漏油,"A12,A14,",2021-02-04,处理反馈
570355,长安福特,锐界,2020款 EcoBoost 245 两驱 豪锐型 7座,长安福特锐界电瓶亏电导致无法启动,"H146,",2021-02-04,处理反馈
570352,华晨中华,中华V7,2019款 运动款 280T 自动 豪华型,华晨中华V7发动机故障灯亮 4S店不予索赔,"A24,A34,I297,",2021-02-04,信息审核
570351,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾遥控钥匙漏电希望解决,"H119,",2021-02-04,处理反馈
570350,上汽通用五菱,五菱宏光,2016款 1.5L 尊享型 S1 国V,上汽通用五菱宏光前轮吃胎偏磨严重,"G245,",2021-02-04,处理反馈
570347,北汽新能源,北汽新能源EC5,2019款 新风版,北汽新能源EC5续航里程不足希望处理,"H344,M283,",2021-02-04,处理反馈
570346,BEIJING汽车,BEIJING-EU5,2018款 R550 智领版,BEIJING-EU5新车车身顶部A柱大面积喷漆,"M284,",2021-02-04,处理反馈
570345,北京奔驰,奔驰E级,2019款 E 300L 运动豪华型,北京奔驰E级方向机异响厂家拒绝更换,"D59,D265,",2021-02-04,处理反馈
570344,广汽本田,广汽本田VE-1,2020款 舒适版,广汽本田VE-1续航里程不足要求尽快处理,"H344,",2021-02-04,处理反馈
570343,斯巴鲁,森林人,2016款 2.0i 时尚导航版,斯巴鲁森林人方向机异响 三角臂故障,"D59,G210,",2021-02-04,信息审核
570342,长安福特,锐界,2015款 2.7T GTDi 四驱 运动型,长安福特锐界塑料油底壳出现漏油,"A12,",2021-02-04,处理反馈
570341,东风本田,哥瑞,2016款 1.5L CVT 舒适版,东风本田哥瑞冷车启动异响存在质量问题,"A9,",2021-02-04,用户评分
570339,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾高压泵异响厂家不予解决,"A9,I295,",2021-02-04,处理反馈
570338,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾颠簸路面行驶时底盘异响,"G56,",2021-02-04,处理反馈
570337,一汽奔腾,奔腾B30,2017款 1.6L 手动 舒适型,一汽奔腾B30轮毂掉漆厂家未索赔,"H243,",2021-02-04,处理反馈
570335,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,一汽大众探岳变速箱拖挡导致车身共振抖动,"B69,",2021-02-04,处理反馈
570332,一汽丰田,锐志,2007款 2.5S 天窗版 锐志 REIZ,一汽丰田锐志仪表台开裂 影响气囊弹出,"H176,",2021-02-04,信息审核
570331,上汽大众,途昂X,2020款 380TSI 四驱 豪华版,上汽大众途昂X前悬挂异响经销商无配件,"G204,N318,",2021-02-04,处理反馈
570327,海马汽车,海马M3,2013款 1.5L 手动 精英型,海马M3安全气囊故障灯亮一直未解决,"H103,",2021-02-04,处理反馈
570325,奇瑞汽车,瑞虎5x,2017款 1.5T 自动 精英型,奇瑞瑞虎5x发动机实际油耗高希望解决,"A85,",2021-02-04,处理反馈
570324,上汽大众,途观L,2020款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L事故维修后启停失灵油耗高,"A85,H263,J300,",2021-02-04,处理反馈
570321,东风悦达起亚,赛拉图,2012款 1.6L 手动 GL,东风悦达起亚赛拉图变速箱异响严重,"B33,",2021-02-04,处理反馈
570319,一汽-大众,T-ROC探歌,2020款 280TSI DSG 两驱 舒适型,一汽大众探歌新车油耗高希望厂家处理,"A85,",2021-02-04,用户评分
570316,长城汽车,WEY P8,2018款 2.0T 旗舰型,WEY P8混合动力功能受限行驶时动力消失,"A255,A346,",2021-02-04,处理反馈
570313,上汽大通,上汽大通MAXUS D90,2019款 2.0T 自动 四驱 北极星 国V,上汽大通MAXUS D90无配件一直无法修车,"N318,",2021-02-04,信息审核
570312,长安福特,锐际,2020款 EcoBoost 245 两驱 耀享款,长安福特锐际新车发动机怠速抖动,"A24,",2021-02-04,用户评分
570311,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 尊贵版,奇瑞艾瑞泽5车门生锈维修后再次生锈,"H79,",2021-02-04,处理反馈
570309,奇瑞新能源,奇瑞QQ3EV,2014款 EV 运动版,奇瑞QQ3EV动力电池严重衰减厂家不予解决,"H343,I295,",2021-02-04,信息审核
570303,一汽-大众奥迪,奥迪Q5L,2020款 改款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L发动机和变速箱连接处渗油,"A12,B22,H93,",2021-02-04,信息审核
570297,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度冷车启动异响希望尽快处理,"A9,",2021-02-04,处理反馈
570296,长安福特,锐界,2018款 EcoBoost 245 两驱 豪锐型 7座 国V,长安福特锐界发动机漏机油希望尽快处理,"A12,",2021-02-04,处理反馈
570295,长城汽车,炮,2019款 2.0T 商用版 手动 两驱 精英型 长箱 GW4D20M 柴油,长城炮发动机故障灯报警 无法启动,"A34,A44,",2021-02-04,处理反馈
570293,一汽-大众,宝来,2017款 230TSI DSG 舒适型,一汽大众宝来挂挡后无法行驶 发动机抖动,"A24,B334,",2021-02-04,处理反馈
570291,一汽红旗,红旗H5,2020款 1.8T 自动 智联旗韵版,红旗H5后备箱自动开启 车窗自动下降,"H67,H68,",2021-02-04,信息审核
570290,一汽丰田,卡罗拉,2017款 1.2T S-CVT GL 改款,一汽丰田卡罗拉门窗异响售后未解决问题,"H72,",2021-02-04,信息审核
570289,广汽三菱,欧蓝德,2018款 2.4L 四驱 精英版 5座,广汽三菱欧蓝德发动机抖动 后排座椅共振,"A24,H268,",2021-02-04,厂家受理
570286,众泰汽车,江南T11,2015款 舒适型,江南T11行驶中变速箱异响无人处理,"B33,",2021-02-04,信息审核
570281,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧行驶中发动机失去动力,"A255,",2021-02-04,处理反馈
570280,东风标致,标致5008,2017款 380THP 精英版 7座,东风标致5008发动机烧机油 转向异响,"A63,D59,G52,",2021-02-04,处理反馈
570278,长安汽车,长安欧尚X7,2021款 1.5T 自动 豪华型,长安欧尚X7后备箱车灯不亮希望尽快处理,"H82,",2021-02-04,用户评分
570277,东风本田,本田UR-V,2017款 370TURBO 两驱 尊贵版 国V,东风本田UR-V转向拉杆断裂更换后再次断裂,"H168,",2021-02-04,处理反馈
570275,东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸变速箱不换挡要求尽快解决,"B20,",2021-02-04,处理反馈
570271,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享运动型,奥迪Q5L发动机抖动 变速箱顿挫异响,"A24,B33,B19,",2021-02-04,信息审核
570269,奇瑞新能源,小蚂蚁,2021款 15万蚁粉款 蚁潮版,奇瑞小蚂蚁高压绝缘故障动力电池断电,"H343,",2021-02-04,厂家受理
570268,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越厂家未履行车机系统更新承诺,"L314,",2021-02-04,处理反馈
570265,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放颠簸路面前车窗玻璃异响,"H72,",2021-02-04,信息审核
570263,上汽通用五菱,五菱宏光,2019款 1.5L S 基本型 L2B,上汽通用五菱宏光经销商出售库存车,"M283,",2021-02-04,用户评分
570261,长安汽车,长安CS55,2017款 1.5T 手动 炫动型,长安CS55一挡起步时车身抖动严重,"C87,",2021-02-04,用户评分
570259,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客低速行驶变速箱顿挫,"B19,",2021-02-04,处理反馈
570257,东风雪铁龙,天逸 C5 AIRCROSS新能源,2020款 1.6T 四驱 插混尊享型,雪铁龙天逸C5 AIRCROSS新能源中控屏缝隙大,"H209,",2021-02-04,信息审核
570256,北汽新能源,EV系列,2014款 E150 EV 科技版,北汽新能源EV动力丢失  厂家拒绝保修,"A341,I297,",2021-02-04,处理反馈
570254,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳1000-1200转时发动机抖动,"A24,",2021-02-04,用户评分
570249,东风英菲尼迪,英菲尼迪Q50L,2018款 2.0T 进享版 国VI,英菲尼迪Q50L刹车片异常磨损频繁更换,"E43,E47,",2021-02-04,信息审核
570247,东风本田,本田XR-V,2015款 1.5L LXi CVT经典版,东风本田XR-V早上启动时发动机舱有异响,"A9,",2021-02-04,用户评分
570246,上汽大众,途观L,2020款 330TSI 自动 两驱 智动豪华版 国VI,大众途观L发动机启停系统故障 刹车失灵异响,"E43,E29,H263,",2021-02-04,处理反馈
570245,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS车机系统无法读取U盘,"H155,",2021-02-04,处理反馈
570244,一汽马自达,马自达8,2015款 2.5L 至尊版,一汽马自达8排气管异响及起动机卡滞,"A44,H31,",2021-02-04,信息审核
570242,一汽-大众,迈腾,2017款 280TSI DSG 舒适型,一汽大众迈腾处于紧急运行模式无法挂倒挡,"B20,",2021-02-04,用户评分
570241,广汽乘用车,传祺GS8,2017款 320T 两驱 豪华智联版（七座）,广汽乘用车传祺GS8发动机缸垫损坏,"A136,",2021-02-04,处理反馈
570236,东风日产,骐达TIIDA,2019款 1.6L CVT 智尊版 国Ⅵ,东风日产骐达悬架生锈厂家没有回复,"H79,I294,",2021-02-04,处理反馈
570235,北京现代,索纳塔,2020款 270TGDi GL DCT 领先版,北京现代索纳塔转向异响希望厂家处理,"D59,",2021-02-04,处理反馈
570234,东风日产,逍客,2017款 2.0L CVT 精英版 国Ⅵ,东风日产逍客转向异响换件未解决问题,"D59,H134,J298,N318,",2021-02-04,处理反馈
570229,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度发动机启动异响 故障报警,"A9,A34,",2021-02-04,处理反馈
570221,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 豪华版,奇瑞艾瑞泽5车身不同程度生锈腐烂异响,"G52,H79,",2021-02-04,处理反馈
570217,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊享型,一汽奔腾X40发动机4缸失火车身抖动,"A24,",2021-02-04,处理反馈
570216,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮 影响行车安全,"H82,",2021-02-04,处理反馈
570215,一汽-大众捷达,捷达VA3,2019款 1.5L 手动 进取版,捷达VA3发动机故障灯亮 制动系统故障灯亮,"A34,E62,",2021-02-04,用户评分
570214,奇瑞新能源,小蚂蚁,2021款 15万蚁粉款 蚁潮版,奇瑞小蚂蚁远程启动和续航里程与宣传不符,"H155,H344,M279,",2021-02-04,信息审核
570212,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,丰田亚洲龙发动机机油增多希望厂家处理,"A339,",2021-02-04,信息审核
570211,东风汽车,东风小霸王,轻型仓栅式货车,东风小霸王刹车时失灵 ABS故障灯亮,"E29,E74,",2021-02-04,信息审核
570210,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜发动机故障灯亮 提速无力,"A34,A160,",2021-02-04,处理反馈
570209,一汽奔腾,奔腾X40,2017款 1.6L 自动 豪华型,一汽奔腾X40发动机缺缸 三缸失火,"A24,A136,",2021-02-04,处理反馈
570201,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 技术型,一汽大众奥迪Q5水泵和节温器漏防冻液,"A37,",2021-02-04,信息审核
570200,猎豹汽车,猎豹CS10,2017款 2.0T 自动 豪华型,猎豹CS10变速箱异响 转向异响 胎压监测故障,"B33,D59,H203,",2021-02-04,信息审核
570199,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型 30周年年型,一汽大众奥迪Q3车辆起步时发动机异响,"A9,",2021-02-04,信息审核
570197,江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国VI,江铃福特领界尾门开裂要求给予解决,"H168,H68,",2021-02-03,处理反馈
570196,一汽吉林,森雅R7,2016款 1.6L 手动 豪华型,一汽吉林森雅R7发动机故障报警经销商无配件,"A24,A34,N318,",2021-02-03,信息审核
570195,奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 7座,捷途X70 PLUS车灯照射距离近 不聚光,"H82,",2021-02-03,处理反馈
570193,一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉低速变速箱顿挫异响,"B33,B19,",2021-02-03,信息审核
570192,吉利汽车,帝豪GL,2019款 1.4T CVT 精英智享版,吉利帝豪GL车辆行驶时A柱出现异响,"H15,",2021-02-03,用户评分
570190,广汽丰田,威兰达,2020款 双擎 2.5L E-CVT 两驱 豪华版,广汽丰田威兰达发动机机油出现增多,"A339,",2021-02-03,处理反馈
570189,广汽丰田,凯美瑞,2016款 2.5HG CVT 十周年纪念豪华导航版 双擎,广汽丰田凯美瑞真皮方向盘破损脱落,"H168,",2021-02-03,处理反馈
570188,北京奔驰,奔驰GLC,2020款 GLC 300 L 4MATIC 豪华型,北京奔驰GLC减震器过硬影响舒适性,"G171,",2021-02-03,信息审核
570183,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳自动启停失效 油耗增加,"A85,H263,",2021-02-03,处理反馈
570182,一汽-大众奥迪,奥迪A4L,2020款 45 TFSI quattro 臻选致雅型,一汽大众奥迪A4L安装中网导致车辆受损,"I295,J303,",2021-02-03,信息审核
570168,东风本田,本田CR-V,2018款 1.5T CVT 两驱 舒适版,东风本田CR-V变速箱损坏行驶中动力消失,"B334,",2021-02-03,处理反馈
570167,华晨中华,中华V7,2018款 280T 手动 豪华型 5座,华晨中华V7发动机故障灯亮发动机无法启动,"A34,A44,B19,H119,",2021-02-03,信息审核
570158,东风标致,标致307,2009款 两厢 1.6L 手动 爱乐版,东风标致307召回后油箱有严重汽油味,"H75,",2021-02-03,处理反馈
570155,上汽大众斯柯达,柯米克,2020款 1.5L 自动 舒适版,斯柯达柯米克前挡风玻璃开裂4S店不索赔,"H113,I297,",2021-02-03,处理反馈
570154,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3定速巡航失效 发动机故障灯亮,"A34,H253,",2021-02-03,用户评分
570152,东风日产,蓝鸟,2016款 1.6L CVT 高能版,东风日产蓝鸟油箱容积与厂家宣传不符,"M279,",2021-02-03,用户评分
570147,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯亮度不足影响行车安全,"H82,",2021-02-03,处理反馈
570142,北京现代,领动,2016款 1.4T  双离合 炫动·活力型,北京现代领动中网与门把手氧化生锈严重,"H79,",2021-02-03,处理反馈
570140,比亚迪,比亚迪S6,2013款 劲悦版 2.0L 手动 精英型 5座,比亚迪S6车身漆面起泡开裂希望处理,"H81,",2021-02-03,处理反馈
570138,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉预碰撞系统故障倒车异响,"G56,H170,",2021-02-03,信息审核
570137,福田汽车,祥菱M,2018款 1.5L M2非承载 单排 后双胎(厢式)DAM15L,福田祥菱M轮毂螺丝杆断裂底盘异响,"G56,G200,",2021-02-03,信息审核
570135,东风日产,天籁,2020款 改款 2.0L XL 舒适版,东风日产天籁油箱异响希望厂家处理,"H147,",2021-02-03,处理反馈
570133,广汽本田,冠道,2020款 370TURBO 四驱 尊享版,广汽本田冠道首保后出现发动机漏油,"A12,",2021-02-03,用户评分
570131,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放右侧A柱仪表台附近异响,"H93,",2021-02-03,信息审核
570130,一汽-大众,速腾,2021款 280TSI DSG 豪华智联版,一汽大众速腾后车门关闭时有异响,"H72,",2021-02-03,处理反馈
570129,华晨宝马,宝马5系,2020款 530Li 领先型 M运动套装,华晨宝马5系合格证二维码无法扫描,"M284,",2021-02-03,信息审核
570128,广汽本田,凌派,2019款 180Turbo CVT 舒适版 国VI,广汽本田凌派发动机故障灯亮多次维修未解决,"A34,J298,",2021-02-03,用户评分
570127,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯进水希望尽快处理,"H88,",2021-02-03,处理反馈
570125,东风本田,哥瑞,2016款 1.5L CVT 风尚版,东风本田哥瑞发动机冷启动异响希望处理,"A9,",2021-02-03,处理反馈
570123,长安福特,金牛座,2019款 EcoBoost 245 尊享版,长安福特金牛座打死方向车轮异响,"G125,",2021-02-03,用户评分
570121,奇瑞汽车,瑞虎8,2019款 1.5TCI 手动 精英型,奇瑞瑞虎8车灯盲区过大 倒车灯亮度不足,"H82,Q322,",2021-02-03,用户评分
570119,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L高压油泵故障希望处理,"H78,",2021-02-03,处理反馈
570118,上汽集团,名爵5,2021款 180DVVT CVT 青春豪华版,上汽名爵5官方淘宝直播活动不兑现,"L313,",2021-02-03,用户评分
570117,广汽本田,缤智,2020款 1.5L CVT 豪华版,广汽本田缤智左侧车门内侧有掉漆的现象,"H81,",2021-02-03,处理反馈
570116,一汽吉林,森雅R9,2018款 1.2T 自动 尊贵智悦型,一汽森雅R9发动机防盗锁锁死 4S店无法打开,"H23,",2021-02-03,信息审核
570115,东风悦达起亚,K5凯酷,2020款 270T CVVD 豪华版,起亚K5凯酷购车时承诺置换补贴未到账,"L313,",2021-02-03,处理反馈
570111,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳行驶时拖挡导致共振,"B69,B208,",2021-02-03,用户评分
570109,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客普利司通轮胎老化有裂纹,"F100,",2021-02-03,用户评分
570108,一汽-大众奥迪,奥迪A6L,2018款 35 TFSI 双离合 运动型,一汽大众奥迪A6L两后倍耐力轮胎磨损,"F10,",2021-02-03,用户评分
